                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                0.40903,                0.45141,                0.87731,                0.84446,                0.79847,                0.83473,                0.62696,                 1.0318,                 1.0036,                 1.2312,             5.6085e-05,             5.6085e-05,             5.6085e-05
                     55,                0.40751,                0.46939,                0.86937,                0.85277,                0.82353,                0.86162,                0.64839,                0.99163,                0.94578,                 1.2068,             5.4917e-05,             5.4917e-05,             5.4917e-05
                     56,                0.40587,                0.47307,                0.88148,                0.89808,                0.79412,                 0.8749,                0.65251,                0.97292,                0.94598,                 1.1983,             5.3749e-05,             5.3749e-05,             5.3749e-05
                     57,                0.36746,                0.44557,                0.86314,                0.89937,                0.78861,                0.86932,                 0.6533,                0.99616,                 1.0212,                 1.2157,             5.2581e-05,             5.2581e-05,             5.2581e-05
                     58,                0.37173,                0.43588,                0.87909,                0.91432,                0.78473,                0.85391,                0.64429,                 1.0234,                 1.0524,                 1.2286,             5.1413e-05,             5.1413e-05,             5.1413e-05
                     59,                0.36686,                0.42155,                0.88603,                0.91133,                0.79412,                0.85641,                 0.6435,                  1.025,                 1.0641,                 1.2211,             5.0244e-05,             5.0244e-05,             5.0244e-05
                     60,                 0.3912,                0.43532,                0.86151,                  0.915,                   0.75,                0.86352,                0.64208,                 1.0101,                  1.076,                 1.2125,             4.9076e-05,             4.9076e-05,             4.9076e-05
                     61,                0.37301,                0.42489,                0.86403,                0.95861,                0.73529,                0.86544,                0.64132,                0.99108,                 1.0026,                 1.2006,             4.7908e-05,             4.7908e-05,             4.7908e-05
                     62,                0.39593,                0.43484,                0.86602,                0.89999,                0.79402,                0.87442,                0.64912,                0.97659,                0.95788,                 1.1961,              4.674e-05,              4.674e-05,              4.674e-05
                     63,                0.40317,                0.42092,                0.87969,                0.97295,                0.72059,                0.86913,                0.65483,                0.97017,                0.90246,                 1.1902,             4.5572e-05,             4.5572e-05,             4.5572e-05
                     64,                0.36468,                0.41284,                0.86353,                0.89813,                0.77797,                0.85411,                0.65093,                0.99552,                0.95543,                 1.2009,             4.4403e-05,             4.4403e-05,             4.4403e-05
                     65,                0.36177,                0.42064,                 0.8667,                0.89375,                0.74225,                0.85297,                0.64921,                 1.0068,                 1.0227,                 1.2121,             4.3235e-05,             4.3235e-05,             4.3235e-05
                     66,                0.38121,                0.43476,                0.87671,                0.84855,                   0.75,                0.84434,                0.64166,                 1.0381,                 1.1014,                 1.2285,             4.2067e-05,             4.2067e-05,             4.2067e-05
                     67,                0.37493,                0.40572,                0.86671,                0.89173,                0.73529,                0.84924,                0.64159,                 1.0218,                 1.1184,                 1.2241,             4.0899e-05,             4.0899e-05,             4.0899e-05
                     68,                0.35638,                0.40126,                0.85647,                0.86357,                0.74473,                0.85622,                0.63906,                 1.0263,                 1.1201,                 1.2357,             3.9731e-05,             3.9731e-05,             3.9731e-05
                     69,                0.35703,                0.42535,                0.86676,                0.92283,                 0.7035,                0.85389,                0.64041,                  1.028,                 1.1053,                 1.2376,             3.8562e-05,             3.8562e-05,             3.8562e-05
                     70,                0.39274,                0.41526,                0.87449,                0.93084,                0.69118,                0.85377,                0.65161,                 1.0138,                 1.0503,                 1.2305,             3.7394e-05,             3.7394e-05,             3.7394e-05
                     71,                0.38731,                0.43186,                 0.8674,                0.95298,                0.67647,                0.84828,                0.65017,                 1.0086,                 1.0031,                 1.2302,             3.6226e-05,             3.6226e-05,             3.6226e-05
                     72,                0.36438,                0.40261,                0.86355,                0.95901,                0.68813,                0.85619,                0.65192,                  1.004,                 1.0029,                  1.231,             3.5058e-05,             3.5058e-05,             3.5058e-05
                     73,                0.35212,                0.38822,                0.86256,                0.92254,                0.73529,                0.87132,                0.64232,                 1.0007,                0.97942,                 1.2272,              3.389e-05,              3.389e-05,              3.389e-05
                     74,                 0.3493,                0.36919,                0.86342,                0.91448,                   0.75,                0.87817,                 0.6491,                 1.0081,                 0.9568,                 1.2295,             3.2721e-05,             3.2721e-05,             3.2721e-05
